Cleveland Cavaliers,Golden State Warriors,+129,-149
Golden State Warriors,Cleveland Cavaliers,-455,+370
Cleveland Cavaliers,Golden State Warriors,+160,-182
Cleveland Cavaliers,Golden State Warriors,+110,-128
Golden State Warriors,Cleveland Cavaliers,-333,+279
Golden State Warriors,Cleveland Cavaliers,-244,+206
Golden State Warriors,Houston Rockets,-526,+411
Cleveland Cavaliers,Atlanta Hawks,-333,+278
Houston Rockets,Golden State Warriors,+164,-185
Cleveland Cavaliers,Atlanta Hawks,-400,+319
Houston Rockets,Golden State Warriors,-122,+106
Atlanta Hawks,Cleveland Cavaliers,-159,+141
Golden State Warriors,Houston Rockets,-500,+396
Atlanta Hawks,Cleveland Cavaliers,-135,+119
Golden State Warriors,Houston Rockets,-625,+488
Houston Rockets,Los Angeles Clippers,+118,-135
Memphis Grizzlies,Golden State Warriors,+181,-213
Washington Wizards,Atlanta Hawks,-139,+121
Los Angeles Clippers,Houston Rockets,-435,+347
Chicago Bulls,Cleveland Cavaliers,-135,+119
Golden State Warriors,Memphis Grizzlies,-588,+444
Atlanta Hawks,Washington Wizards,-312,+261
Houston Rockets,Los Angeles Clippers,+127,-147
Cleveland Cavaliers,Chicago Bulls,-238,+202
Memphis Grizzlies,Golden State Warriors,+152,-172
Washington Wizards,Atlanta Hawks,+170,-200
Los Angeles Clippers,Houston Rockets,-286,+242
Chicago Bulls,Cleveland Cavaliers,+136,-154
Memphis Grizzlies,Golden State Warriors,+163,-185
Washington Wizards,Atlanta Hawks,+163,-185
Los Angeles Clippers,Houston Rockets,-256,+220
Chicago Bulls,Cleveland Cavaliers,-139,+121
Houston Rockets,Los Angeles Clippers,-385,+311
Cleveland Cavaliers,Chicago Bulls,-250,+215
Golden State Warriors,Memphis Grizzlies,-588,+458
Atlanta Hawks,Washington Wizards,-476,+373
Houston Rockets,Los Angeles Clippers,-345,+287
Cleveland Cavaliers,Chicago Bulls,-200,+172
Golden State Warriors,Memphis Grizzlies,-667,+505
Atlanta Hawks,Washington Wizards,-227,+192
Los Angeles Clippers,San Antonio Spurs,-145,+127
Brooklyn Nets,Atlanta Hawks,+179,-208
San Antonio Spurs,Los Angeles Clippers,-250,+212
Milwaukee Bucks,Chicago Bulls,+150,-172
Memphis Grizzlies,Portland Trail Blazers,-250,+214
Atlanta Hawks,Brooklyn Nets,-476,+376
Los Angeles Clippers,San Antonio Spurs,-141,+123
Houston Rockets,Dallas Mavericks,-370,+305
Portland Trail Blazers,Memphis Grizzlies,-175,+152
Chicago Bulls,Milwaukee Bucks,-400,+319
Brooklyn Nets,Atlanta Hawks,+181,-213
Dallas Mavericks,Houston Rockets,+127,-147
Washington Wizards,Toronto Raptors,-263,+219
San Antonio Spurs,Los Angeles Clippers,-263,+222
Boston Celtics,Cleveland Cavaliers,+250,-294
Portland Trail Blazers,Memphis Grizzlies,-161,+143
New Orleans Pelicans,Golden State Warriors,+236,-278
Milwaukee Bucks,Chicago Bulls,+154,-175
Brooklyn Nets,Atlanta Hawks,+140,-159
San Antonio Spurs,Los Angeles Clippers,-204,+175
Washington Wizards,Toronto Raptors,-196,+168
Dallas Mavericks,Houston Rockets,-108,-108
New Orleans Pelicans,Golden State Warriors,+193,-227
Milwaukee Bucks,Chicago Bulls,+124,-143
Boston Celtics,Cleveland Cavaliers,+191,-222
Los Angeles Clippers,San Antonio Spurs,-128,+112
Memphis Grizzlies,Portland Trail Blazers,-263,+222
Atlanta Hawks,Brooklyn Nets,-500,+394
Houston Rockets,Dallas Mavericks,-270,+231
Toronto Raptors,Washington Wizards,-217,+183
Cleveland Cavaliers,Boston Celtics,-833,+579
Golden State Warriors,New Orleans Pelicans,-1429,+893
Chicago Bulls,Milwaukee Bucks,-385,+309
Los Angeles Clippers,San Antonio Spurs,-127,+108
Memphis Grizzlies,Portland Trail Blazers,-233,+196
Atlanta Hawks,Brooklyn Nets,-769,+556
Cleveland Cavaliers,Boston Celtics,-1000,+674
Houston Rockets,Dallas Mavericks,-238,+202
Chicago Bulls,Milwaukee Bucks,-400,+324
Golden State Warriors,New Orleans Pelicans,-1111,+701
Toronto Raptors,Washington Wizards,-185,+161
Golden State Warriors,Denver Nuggets,-833,+609
Los Angeles Lakers,Sacramento Kings,-161,+141
Memphis Grizzlies,Indiana Pacers,+118,-137
Brooklyn Nets,Orlando Magic,-455,+363
Chicago Bulls,Atlanta Hawks,-217,+183
Cleveland Cavaliers,Washington Wizards,-370,+295
Dallas Mavericks,Portland Trail Blazers,-256,+216
Houston Rockets,Utah Jazz,-909,+633
Milwaukee Bucks,Boston Celtics,-238,+200
Minnesota Timberwolves,Oklahoma City Thunder,+1064,-2000
New Orleans Pelicans,San Antonio Spurs,+191,-227
New York Knicks,Detroit Pistons,+348,-435
Philadelphia 76ers,Miami Heat,-127,+108
Toronto Raptors,Charlotte Hornets,-625,+467
Phoenix Suns,Los Angeles Clippers,+475,-625
Indiana Pacers,Washington Wizards,-345,+283
Boston Celtics,Toronto Raptors,-114,-103
Golden State Warriors,Memphis Grizzlies,-370,+303
Los Angeles Clippers,Denver Nuggets,-5000,+1832
Sacramento Kings,Los Angeles Lakers,-164,+142
Utah Jazz,Dallas Mavericks,-263,+222
Minnesota Timberwolves,New Orleans Pelicans,+1054,-2000
Oklahoma City Thunder,Portland Trail Blazers,-370,+304
Atlanta Hawks,New York Knicks,-2000,+1143
Brooklyn Nets,Chicago Bulls,+110,-128
Miami Heat,Orlando Magic,-244,+206
Charlotte Hornets,Houston Rockets,+564,-769
Cleveland Cavaliers,Detroit Pistons,-370,+299
Philadelphia 76ers,Milwaukee Bucks,+144,-167
Los Angeles Lakers,Dallas Mavericks,+192,-227
Houston Rockets,New Orleans Pelicans,-213,+181
San Antonio Spurs,Phoenix Suns,-3333,+1737
Indiana Pacers,Oklahoma City Thunder,-149,+127
Washington Wizards,Atlanta Hawks,-476,+369
Denver Nuggets,Sacramento Kings,-455,+353
Detroit Pistons,Charlotte Hornets,-385,+308
Boston Celtics,Cleveland Cavaliers,-588,+445
Milwaukee Bucks,Brooklyn Nets,-116,+100
Golden State Warriors,Minnesota Timberwolves,-5000,+2315
Los Angeles Clippers,Memphis Grizzlies,-500,+391
Portland Trail Blazers,Utah Jazz,-556,+422
Chicago Bulls,Philadelphia 76ers,-3333,+1473
Miami Heat,Toronto Raptors,-159,+137
Orlando Magic,New York Knicks,-769,+550
Los Angeles Lakers,Minnesota Timberwolves,-213,+179
Denver Nuggets,Dallas Mavericks,-119,+102
Utah Jazz,Memphis Grizzlies,+127,-147
Houston Rockets,San Antonio Spurs,+143,-164
New Orleans Pelicans,Phoenix Suns,-455,+351
Oklahoma City Thunder,Sacramento Kings,-1667,+938
Atlanta Hawks,Charlotte Hornets,-588,+434
Brooklyn Nets,Washington Wizards,-208,+175
Cleveland Cavaliers,Boston Celtics,-256,+217
Detroit Pistons,Indiana Pacers,+187,-222
New York Knicks,Milwaukee Bucks,+532,-769
Orlando Magic,Toronto Raptors,+184,-217
