Houston Rockets,Washington Wizards,Home
Indiana Pacers,Utah Jazz,Home
Boston Celtics,New Orleans Pelicans,Visiting
Orlando Magic,Golden State Warriors,Home
Minnesota Timberwolves,Cleveland Cavaliers,Home
Milwaukee Bucks,Charlotte Hornets,Home
San Antonio Spurs,Chicago Bulls,Visiting
Miami Heat,Toronto Raptors,Home
Utah Jazz,Sacramento Kings,Visiting
Los Angeles Clippers,Portland Trail Blazers,Visiting
New York Knicks,Memphis Grizzlies,Home
Orlando Magic,Los Angeles Lakers,Visiting
Phoenix Suns,Detroit Pistons,Home
Philadelphia 76ers,Brooklyn Nets,Visiting
Charlotte Hornets,Atlanta Hawks,Home
New Orleans Pelicans,Washington Wizards,Home
Denver Nuggets,Oklahoma City Thunder,Home
Chicago Bulls,Minnesota Timberwolves,Visiting
San Antonio Spurs,Milwaukee Bucks,Home
Sacramento Kings,Golden State Warriors,Home
Boston Celtics,Dallas Mavericks,Home
Houston Rockets,Cleveland Cavaliers,Home
Washington Wizards,Toronto Raptors,Home
Cleveland Cavaliers,Philadelphia 76ers,Visiting
Charlotte Hornets,Oklahoma City Thunder,Home
New Orleans Pelicans,New York Knicks,Home
Phoenix Suns,Milwaukee Bucks,Visiting
Utah Jazz,Los Angeles Lakers,Home
Memphis Grizzlies,Los Angeles Clippers,Home
San Antonio Spurs,Indiana Pacers,Visiting
Portland Trail Blazers,Golden State Warriors,Visiting
Houston Rockets,Detroit Pistons,Home
Orlando Magic,Denver Nuggets,Visiting
Miami Heat,Chicago Bulls,Home
Minnesota Timberwolves,Brooklyn Nets,Visiting
Boston Celtics,Atlanta Hawks,Home
Sacramento Kings,Utah Jazz,Visiting
Memphis Grizzlies,San Antonio Spurs,Visiting
New Orleans Pelicans,Philadelphia 76ers,Home
Denver Nuggets,Minnesota Timberwolves,Visiting
Portland Trail Blazers,Milwaukee Bucks,Home
Detroit Pistons,Houston Rockets,Home
Oklahoma City Thunder,Golden State Warriors,Home
Brooklyn Nets,Dallas Mavericks,Home
Los Angeles Lakers,Cleveland Cavaliers,Visiting
Indiana Pacers,Charlotte Hornets,Home
Phoenix Suns,Chicago Bulls,Home
New York Knicks,Boston Celtics,Visiting
Toronto Raptors,Atlanta Hawks,Visiting
Los Angeles Clippers,Washington Wizards,Home
Toronto Raptors,Orlando Magic,Visiting
Portland Trail Blazers,New York Knicks,Visiting
Brooklyn Nets,Miami Heat,Home
Oklahoma City Thunder,Sacramento Kings,Home
Phoenix Suns,Philadelphia 76ers,Home
San Antonio Spurs,New Orleans Pelicans,Home
Denver Nuggets,Milwaukee Bucks,Visiting
Dallas Mavericks,Memphis Grizzlies,Home
Utah Jazz,Indiana Pacers,Visiting
Cleveland Cavaliers,Detroit Pistons,Home
Boston Celtics,Charlotte Hornets,Home
Los Angeles Clippers,Atlanta Hawks,Visiting
Portland Trail Blazers,Washington Wizards,Visiting
Golden State Warriors,San Antonio Spurs,Visiting
New York Knicks,Orlando Magic,Home
Memphis Grizzlies,Minnesota Timberwolves,Home
Los Angeles Lakers,Miami Heat,Home
Oklahoma City Thunder,Phoenix Suns,Visiting
Los Angeles Lakers,Orlando Magic,Home
Denver Nuggets,New Orleans Pelicans,Home
Atlanta Hawks,Indiana Pacers,Home
Sacramento Kings,Houston Rockets,Home
Golden State Warriors,Dallas Mavericks,Home
Philadelphia 76ers,Charlotte Hornets,Visiting
Toronto Raptors,Chicago Bulls,Home
Los Angeles Clippers,Brooklyn Nets,Visiting
Utah Jazz,Boston Celtics,Visiting
Brooklyn Nets,Washington Wizards,Visiting
Utah Jazz,Philadelphia 76ers,Home
New York Knicks,New Orleans Pelicans,Home
Portland Trail Blazers,Minnesota Timberwolves,Visiting
Chicago Bulls,Milwaukee Bucks,Home
Sacramento Kings,Memphis Grizzlies,Home
Miami Heat,Indiana Pacers,Home
Toronto Raptors,Boston Celtics,Home
San Antonio Spurs,Los Angeles Clippers,Home
Golden State Warriors,Houston Rockets,Visiting
Atlanta Hawks,Denver Nuggets,Visiting
Cleveland Cavaliers,Washington Wizards,Visiting
Detroit Pistons,Toronto Raptors,Visiting
