Kareem Abdul-Jabbar*,40.5,77.0,2001.5,14.35,0.54,0.003,0.274,6.7,15.55,11.35,7.25,1.05,2.55,12.5,20.75,1.75,2.35,4.1,0.096,-1.55,0.1,-1.45,0.35
Mark Acres,27.5,62.5,997.0,9.0,0.552,0.016,0.439,10.883,17.433,14.117,3.567,1.067,1.033,16.283,10.183,0.867,0.7,1.567,0.074,-2.2,-0.183,-2.4,0.0
Alvan Adams,33.0,82.0,1646.0,13.1,0.543,0.004,0.253,8.0,17.0,12.5,14.9,2.4,1.4,19.9,17.4,0.6,1.6,2.2,0.064,-1.2,1.5,0.3,1.0
Michael Adams,29.0,63.556,2111.556,16.833,0.548,0.395,0.323,1.967,7.778,4.789,29.367,2.522,0.256,14.289,20.111,3.389,1.522,4.933,0.117,2.8,-1.511,1.244,1.933
Mark Aguirre,31.0,68.286,1816.429,15.9,0.526,0.141,0.295,5.857,11.343,8.614,15.243,1.143,0.671,11.857,25.771,2.371,1.8,4.2,0.102,0.871,-1.086,-0.186,1.1
Danny Ainge,31.5,76.5,2064.875,15.35,0.563,0.383,0.214,2.625,8.325,5.525,21.162,1.862,0.35,11.938,19.613,3.875,1.613,5.488,0.129,2.65,-1.313,1.312,1.875
Mark Alarie,25.5,65.25,1097.5,12.575,0.511,0.076,0.187,8.925,13.85,11.35,9.3,1.1,1.0,12.475,19.825,0.775,0.95,1.7,0.07,-1.225,-1.05,-2.35,0.05
Steve Alford,24.5,42.25,410.25,15.675,0.529,0.168,0.258,2.1,8.25,5.2,16.55,2.675,0.5,11.95,21.1,0.45,0.35,0.8,0.105,-0.225,-1.45,-1.675,-0.025
Greg Anderson,28.0,68.0,1404.0,12.1,0.506,0.011,0.45,10.84,23.14,16.85,3.97,1.74,2.93,17.78,15.49,0.17,1.7,1.86,0.066,-3.64,0.87,-2.77,-0.27
Richard Anderson,28.0,66.667,1012.0,12.133,0.502,0.407,0.131,6.4,17.767,11.867,11.733,1.767,0.733,11.6,15.967,0.667,1.1,1.8,0.084,-0.467,0.133,-0.333,0.433
Ron Anderson,32.0,69.714,1742.143,13.814,0.514,0.104,0.22,5.743,11.071,8.429,9.157,1.471,0.357,9.443,20.471,1.657,1.086,2.757,0.073,-0.614,-1.529,-2.143,0.057
Joe Arlauckas,22.0,9.0,85.0,7.9,0.365,0.0,0.186,7.6,9.0,8.3,13.3,1.7,2.6,7.9,24.0,-0.1,0.1,-0.1,-0.045,-4.9,-1.6,-6.5,-0.1
Vincent Askew,26.778,51.889,1040.111,11.289,0.52,0.072,0.433,5.311,9.178,7.278,16.211,1.656,0.778,16.556,15.7,1.433,1.022,2.467,0.087,-1.2,-0.233,-1.444,0.4
John Bagley,30.0,48.333,1227.167,9.467,0.45,0.083,0.344,1.9,7.483,4.7,30.433,1.4,0.117,21.183,15.733,0.117,0.833,0.95,0.017,-3.5,-2.017,-5.517,-0.267
James Bailey,30.0,65.0,869.0,8.3,0.514,0.017,0.369,9.4,17.9,13.6,6.2,0.9,1.9,20.0,16.4,-0.2,0.6,0.4,0.023,-3.9,-0.5,-4.4,-0.5
Thurl Bailey,30.0,75.5,1983.75,13.987,0.523,0.004,0.304,5.9,14.125,10.15,7.775,0.825,2.712,11.238,21.325,1.362,2.238,3.613,0.084,-2.0,0.088,-1.913,0.212
Charles Barkley*,30.0,64.846,2407.0,24.715,0.597,0.141,0.548,12.092,24.031,18.177,18.346,1.962,1.1,13.569,25.154,8.162,3.146,11.292,0.218,5.546,1.477,7.015,5.792
John Battle,28.5,60.5,1183.375,13.188,0.516,0.075,0.313,1.6,6.063,3.837,17.712,1.2,0.25,11.025,22.475,1.388,0.525,1.912,0.071,-1.013,-2.987,-4.013,-0.4
William Bedford,26.8,37.6,307.0,9.08,0.441,0.029,0.27,7.56,15.22,11.48,3.7,0.6,3.16,10.36,21.86,-0.1,0.48,0.32,0.026,-5.74,-1.4,-7.14,-0.18
Benoit Benjamin,29.0,50.462,1353.308,12.192,0.506,0.002,0.345,7.269,21.877,14.492,5.669,0.992,3.638,17.177,18.654,0.215,1.908,2.115,0.05,-4.408,0.546,-3.862,0.223
Kent Benson,33.0,2.0,12.0,11.8,0.868,0.0,1.0,0.0,9.6,4.9,0.0,4.1,4.9,41.0,17.4,0.0,0.0,0.0,0.015,-5.3,2.3,-3.0,0.0
Walter Berry,23.5,71.0,1638.5,16.0,0.559,0.002,0.309,8.35,13.6,10.95,8.6,1.15,1.95,13.2,22.7,1.85,1.05,2.9,0.085,-0.2,-1.1,-1.35,0.35
Larry Bird*,33.0,52.4,2007.4,22.04,0.549,0.127,0.215,2.96,22.22,13.06,26.34,1.82,1.32,11.9,26.62,4.56,2.84,7.42,0.165,3.54,1.58,5.12,4.24
Otis Birdsong,32.5,40.0,995.0,8.7,0.486,0.059,0.091,4.3,7.7,6.0,15.1,1.4,0.45,19.35,19.55,-0.55,0.45,-0.1,-0.027,-3.4,-1.6,-5.0,-0.45
Uwe Blab,26.0,52.333,465.667,7.167,0.491,0.0,0.45,6.9,15.267,11.233,6.967,0.467,2.8,21.667,13.5,-0.2,0.333,0.133,0.022,-4.667,0.2,-4.467,-0.3
Rolando Blackman,31.0,71.286,2336.429,14.714,0.533,0.1,0.245,2.814,7.129,5.0,15.4,1.129,0.429,10.4,22.329,3.314,1.486,4.843,0.101,0.5,-1.286,-0.771,0.857
Nate Blackwell,22.0,10.0,112.0,6.1,0.424,0.268,0.146,1.9,3.9,2.9,20.0,1.2,0.0,15.5,18.2,-0.1,0.0,-0.1,-0.045,-3.9,-4.7,-8.6,-0.2
Muggsy Bogues,29.5,63.5,1816.357,13.421,0.463,0.099,0.187,2.643,7.543,5.086,35.243,2.65,0.086,21.986,13.314,2.486,1.379,3.864,0.078,-1.143,-1.057,-2.171,0.371
Manute Bol,28.5,57.75,1007.0,8.125,0.44,0.203,0.173,4.525,17.837,11.225,1.813,0.475,9.425,19.963,7.775,-0.75,1.475,0.737,0.029,-6.313,4.15,-2.138,0.225
Dudley Bradley,30.5,51.5,852.0,8.75,0.453,0.319,0.226,2.35,9.45,5.8,13.45,3.4,1.1,15.45,15.45,-0.1,1.05,0.95,0.034,-2.4,1.0,-1.4,0.4
Adrian Branch,25.0,32.667,403.333,14.333,0.477,0.041,0.269,8.467,12.467,10.333,9.3,2.867,0.8,12.867,29.367,0.033,0.4,0.467,0.027,-2.5,-2.033,-4.533,-0.133
Randy Breuer,30.0,55.429,1097.857,12.043,0.457,0.006,0.29,9.114,18.486,13.643,7.257,1.086,3.729,13.086,15.743,0.357,1.2,1.543,0.056,-3.357,1.071,-2.243,0.114
Frank Brickowski,32.222,63.222,1596.111,13.667,0.565,0.075,0.339,6.156,16.622,11.289,12.278,1.833,1.1,17.656,19.733,1.411,1.644,3.056,0.082,-0.956,0.133,-0.833,0.789
Michael Brooks,29.0,16.0,133.0,9.6,0.424,0.0,0.082,14.5,20.5,17.4,12.2,1.4,0.4,19.1,18.4,-0.1,0.2,0.0,0.016,-3.9,0.1,-3.8,-0.1
