Alex Abrines,OKC,23,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.096,-0.3,-2.2,-2.5,-0.1
Quincy Acy,TOT,26,38,558,11.8,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,.082,-1.8,-1.2,-3.0,-0.1
Steven Adams,OKC,23,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,.130,-0.7,1.2,0.6,1.5
Arron Afflalo,SAC,31,61,1580,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,.043,-1.4,-2.1,-3.5,-0.6
Alexis Ajinca,NOP,28,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-5.1,1.0,-4.1,-0.3
Cole Aldrich,MIN,28,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.0,2.6,0.6,0.4
LaMarcus Aldridge,SAS,31,72,2335,18.6,.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,.149,-0.3,1.3,1.0,1.8
Lavoy Allen,IND,27,61,871,11.6,.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,1.3,-0.3,0.4
Tony Allen,MEM,35,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-1.8,2.4,0.6,1.3
Al-Farouq Aminu,POR,26,61,1773,11.3,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,.051,-2.3,1.2,-1.1,0.4
Chris Andersen,CLE,38,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,.102,-3.8,3.0,-0.9,0.0
Alan Anderson,LAC,34,30,308,5.0,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,.020,-2.6,-2.3,-4.9,-0.2
Justin Anderson,TOT,23,75,1228,13.9,.537,.442,.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,.074,-1.2,-0.3,-1.6,0.1
Kyle Anderson,SAS,23,72,1020,12.5,.525,.191,.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,.127,-2.1,3.7,1.6,0.9
Ryan Anderson,HOU,28,72,2116,13.5,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,.117,1.8,-2.6,-0.8,0.6
Giannis Antetokounmpo,MIL,22,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,.210,4.1,3.5,7.6,6.9
Carmelo Anthony,NYK,32,74,2538,17.9,.535,.303,.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,.089,1.5,-2.2,-0.7,0.8
Joel Anthony,SAS,34,19,122,11.6,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,0.1,0.2,0.4,.141,-3.1,2.5,-0.6,0.0
Trevor Ariza,HOU,31,80,2773,12.4,.548,.695,.158,2.1,15.9,9.0,8.8,2.5,0.6,7.9,14.1,2.8,3.2,6.0,.104,0.7,1.0,1.7,2.6
Darrell Arthur,DEN,28,41,639,12.8,.583,.544,.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,1.1,.081,0.3,-0.6,-0.3,0.3
Omer Asik,NOP,30,31,482,9.8,.517,.000,.600,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1.0,.100,-4.3,1.2,-3.1,-0.1
D.J. Augustin,ORL,29,78,1538,11.0,.524,.530,.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,0.7,0.5,1.2,.038,-0.9,-3.3,-4.2,-0.9
Luke Babbitt,MIA,27,68,1065,8.3,.563,.747,.053,1.2,13.5,7.3,4.8,0.9,0.8,8.0,13.0,0.8,1.0,1.8,.081,-1.1,-0.9,-1.9,0.0
Ron Baker,NYK,23,52,857,7.5,.456,.396,.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-3.5,-0.9,-4.4,-0.5
Wade Baldwin,MEM,20,33,405,6.5,.404,.191,.322,3.0,10.2,6.5,22.8,2.3,1.7,22.9,19.1,-0.8,0.5,-0.3,-0.041,-6.2,0.5,-5.7,-0.4
Leandro Barbosa,PHO,34,67,963,11.5,.509,.250,.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0,0.3,0.4,0.6,.031,-2.0,-2.1,-4.1,-0.5
J.J. Barea,DAL,32,35,771,17.2,.521,.431,.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.8,0.5,1.3,.080,2.0,-2.6,-0.5,0.3
Harrison Barnes,DAL,24,79,2803,16.3,.541,.173,.220,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,.078,-0.7,-1.2,-1.9,0.1
Matt Barnes,TOT,36,74,1777,10.3,.514,.556,.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,0.3,1.7,2.0,.053,-1.2,0.6,-0.6,0.6
