Toronto Raptors,.810
Philadelphia 76ers,.636
Boston Celtics,.524
Brooklyn Nets,.381
New York Knicks,.333
Milwaukee Bucks,.700
Indiana Pacers,.600
Detroit Pistons,.588
Chicago Bulls,.238
Cleveland Cavaliers,.211
Charlotte Hornets,.500
Orlando Magic,.476
Washington Wizards,.400
Miami Heat,.368
Atlanta Hawks,.200
Denver Nuggets,.650
Oklahoma City Thunder,.632
Portland Trail Blazers,.600
Minnesota Timberwolves,.476
Utah Jazz,.429
Los Angeles Clippers,.684
Golden State Warriors,.682
Los Angeles Lakers,.579
Sacramento Kings,.500
Phoenix Suns,.211
Memphis Grizzlies,.632
San Antonio Spurs,.500
Dallas Mavericks,.500
New Orleans Pelicans,.476
Houston Rockets,.474
