Boston Celtics,.610
Toronto Raptors,.488
New York Knicks,.354
Philadelphia 76ers,.329
New Jersey Nets,.146
Cleveland Cavaliers,.744
Milwaukee Bucks,.561
Chicago Bulls,.500
Indiana Pacers,.390
Detroit Pistons,.329
Orlando Magic,.720
Atlanta Hawks,.646
Miami Heat,.573
Charlotte Bobcats,.537
Washington Wizards,.317
Denver Nuggets,.646
Utah Jazz,.646
Portland Trail Blazers,.610
Oklahoma City Thunder,.610
Minnesota Timberwolves,.183
Los Angeles Lakers,.695
Phoenix Suns,.659
Los Angeles Clippers,.354
Golden State Warriors,.317
Sacramento Kings,.305
Dallas Mavericks,.671
San Antonio Spurs,.610
Houston Rockets,.512
Memphis Grizzlies,.488
New Orleans Hornets,.451
